电影名称,评分,评价人数,上映年份,电影类型,导演/主演,剧情简介
背靠背，脸对脸,9.5,176110,1994,剧情,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang / 牛振华 Zhenhua N...,
阳光姐妹淘,8.8,634184,2011,"剧情, 喜剧",姜炯哲 Hyeong-Cheol Kang / 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,再多各自牛逼的时光，也比不上一起傻逼的岁月。
恐怖直播,8.7,722560,2013,"剧情, 犯罪, 悬疑",金秉祐 Byeong-woo Kim / 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,恐怖分子的“秋菊打官司”。
黑客帝国3：矩阵革命,8.8,493309,2003,"动作, 科幻",,
三块广告牌,8.7,912703,2017,"剧情, 犯罪",马丁·麦克唐纳 Martin McDonagh / 弗兰西斯·麦克多蒙德 France...,怼天怼地，你走后，她与世界为敌。
小丑,8.7,1117878,2019,"剧情, 犯罪, 惊悚",托德·菲利普斯 Todd Phillips / 杰昆·菲尼克斯 Joaquin Phoeni...,
电锯惊魂,8.7,606635,2004,"悬疑, 惊悚, 恐怖",詹姆斯·温 James Wan / 雷·沃纳尔 Leigh Whannell / 加利·艾...,真相就在眼前。
谍影重重3,8.9,466398,2007,"动作, 悬疑, 惊悚",保罗·格林格拉斯 Paul Greengrass / 马特·达蒙 Matt Damon / ...,像吃了苏打饼一样干脆的电影。
达拉斯买家俱乐部,8.8,502021,2013,"剧情, 传记, 同性",让-马克·瓦雷 Jean-Marc Vallée / 马修·麦康纳 Matthew McCon...,Jared Leto的腿比女人还美！
无间道2,8.8,560624,2003,"剧情, 犯罪, 惊悚",刘伟强 Andrew Lau / 麦兆辉 Alan Mak / 陈冠希 Edison Chen / ...,
疯狂原始人,8.7,914516,2013,"喜剧, 动画, 冒险",,老少皆宜，这就是好莱坞动画的魅力。
末路狂花,9.0,338983,1991,"犯罪, 剧情, 惊悚",雷德利·斯科特 Ridley Scott / 吉娜·戴维斯 Geena Davis / 苏...,
高山下的花环,9.5,153930,0,未知,谢晋 Jin Xie / 吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,
绿里奇迹,8.9,384283,1999,"犯罪, 剧情, 奇幻, 悬疑",弗兰克·德拉邦特 Frank Darabont / 汤姆·汉克斯 Tom Hanks / ...,
